Category,Any license,,,VoID,,,SPARQL,,,Dump,,
,2011,2014,2024,2011,2014,2024,2011,2014,2024,2011,2014,2024
Social Networking,-%,28 (5.38%),8 (8.25%),-,5 (0.96%),1 (1.03 %),,4 (0.77 %),2 (2.06%),,1 (0.19%),5 (5.15%)
publications,9 (10.34%),6 (4.17%),73 (48.99%),39 (44.83%),13 (13.54%),6 (4.02 %),,17 (12.50%),13 (8.72%),,6 (4.17%),28 (18.79%)
government,7 (14.29%),60 (30.05%),95 (48.72%),21 (42.86%),72 (42.08%),"5 (2,56 %)",,61 (31.15%),20 (10.25%),,62 (31.15),30 (15.38%)
life sciences,1 (2.44%),3 (3.61%),89 (24.72%),3 (7.32%),30 (36.14%),"5 (1,38 %)",,20 (24.10%),42 (11.66%),,13 (15.66),54 (15.00%)
cross-domain,8 (19.51%),5 (9.76%),55 (66.27%),9 (21.95 %),5 (12.20%),8 (9.63%),,2 (4.88),15 (18.07%),,2 (4.88),24 (28.91%)
geographic,9 (29.03%),0,32 (68.09%),12 (38.71 %),6 (38.10%),4 (8.51%),,4 (14.29%),4 (8.51%),,5 (19.05),12 (25.53%)
user-gen. content,4 (20.00%),5 (10.42%),55 (76.39%),5 (25.00%),6 (11.76%),1 (1.38%),,3 (6.25%),5 (6.94%),,1 (2.08),14 (19.44%)
media,4 (16.00%),1 (5.41%),24 (64.86%),5 (20.00%),2 (0.09%),3 (8.10%),,0 (0%),3 (8.10%),,1 (4.55),11 (29.72%)
Linguistic,-%,-%,203 (81.53%),-%,-,19 (7.63%),-,-,34 (13.65%),,,140 (56.22%)
total on same domains,43 (14.58%),80 (14.01%),423 (44.85%),94 (32.20%),134 (23.46%),32 (3.39%),201 (68.14%),106 (18.56%),102 ( 10.81%),117 (39.66%),90 (16.04%),173 (18.34%)
Total,43 (14.58%),108 (9.96%),634 (49.19%),94 (32.20%),149 (14.69%),52 (4.03%),201 (68.14%),111 (9.96%),138 (10.70%),117 (39.66%),91 (8.19%),318 (24.67%)
